channel_id,author_id,messsage
1,1,pqGijcQOBSxLLTginKUFSUEJtsYhtPbmMXtVeovqENjxDE
1,2,vNcBQVgHSliepEFwpmaqVaMYvQpRKLBBRfUaXEEaCkwEshonOGUXmzrhCwS
1,1,CqjaelLk
1,1,aVBAojmaotgBykJZmJrprvQp
1,2,AriChMHWpDgmoz
1,1,VkWFjvPQeCbqtHOBDCzYkXPIOKIrhqAVrqnyeqTSWrSrqKSOWfvbGEgjlmOqODzZMSUGeczfTrmprhCMMoq
1,1,YCLueHCZPTGHKYwdgwXULZGwBBEaBVndnjNlAkDpVbZAYAZnZ
1,2,HMeSzRfcTUdgRW
1,2,yAnmylPyPBUvkzvQLmPllyhoMKDpcCEukmSoUAMbDjYyZhBmoTOiKBFdmDqZIzbqnlqXWNbk
1,1,UsttyQunjbDOehrSndqXCzLhnjwdnSbRFSLmHarnmamnBDrFBzNDyxyWCBiDKXAMLwhAUZEnjsUcyxXBhRRWursFTuYsUej
1,2,eBMv
1,1,cmakrasiBopAwmNwzNHoioRkAGxuRIBuWkrTPHcRBbBTjNmbTqcEdzTYHN
1,2,eGQFGfNbHNEnWMzjSiHLHHThigoyOBnwjEshgSHbLQeVvdBFmDnSrTDCyGQPoPkFGkkMYtLTUnnMZnmZSF
1,1,cTCSmGjvybzOuWTkPhDyLzckQllRdJCOhKnYOGnpWVRIeLxBkKhPwKmeBxdVcGitEQjkkxZhDuidPjaGbBMGdKGLIYTZChtwR
1,1,M
1,2,ecBPkKufRPqdQHbQWbVUIOiwWHudsVvMSsWtf
1,2,tzfTLDpcFySnIogpWMsZcIpNyDw
1,2,pzmsUVKztrjFAgxLvqtGZrAXSnsinjOcfdsDGnEWHxlUzyxoSzVoxmCOyAXFNXkhFQAnYGImSPTElrrpbWEdnQajsI
1,2,TGiGjgZERKqBnWPcEdPYzmNawJFOHhjSKkBLSnenNxWTWABsIOcqLAJXrYJwpadWgFxCMeyTChQPNlXbg
1,1,LlUYyRfssMOhzZUGRuBCyuehjVfbMZSlkdDRwYTTPj
1,2,EYQYfLZjqKrPLPvhmonvmBPOXyoJSRGYRdfYAXKRDNMudTCZZ
1,2,XHnqBGdCyTibPkJKqa
1,2,ZxcbFrT
1,1,wJmXPYfAFRHV
1,2,ZGBySwAqaWJpPYwaPchDsSpZpDZNKimGvIzCDTSHzrBmsiUzJLybQuymdQoYsaNprSreFnuGIqXCCNUYNvnnBhbRbYwPTnprMh
1,2,iYxWOKOJGfzPzv
1,2,QBWTU
1,2,LQUqLGTgouQVfAQEgfBYyhrvsVDACFIVVaOCAPTPSlsyo
1,1,JjJxVmbock
1,1,hWuISdwuFfcEvbRny
1,1,HRXthmUEpRGXcpHldlFCRhJiVVzUNcDPdHtUnpwkdFZDBZrnrZkLYcXWXAwtAfxdhXvSYXVST
1,1,LXwdDPjoJfNpQWIZkjfNBksCBEWyFHdGZRnuUlFWYc
1,2,dNQVZzdJsLISAANhfJpQMvWFMmWcrWqSaUPLUdhoWLwiRXcHwMBNJqdPusdrKu
1,1,gQISRWyqFxJYilT
1,1,CaWmtyzXTBgFfPekdhOAYRWzseRNMagrAamIxGuJ
1,2,CpyFAHRKHyCfCJhxcDzwFkDzDFIDiiufiZSQzzVyTxdMcjpNY
1,1,ddNZewUxDZKSSayoJptHQOTlSBfbrJkphaCMZzBFCertVStRErbuOJORVXUrfmyRqiFgtYwIYpDuwltbESfqNLireWnb
1,1,dEobmuPScbUoxacqCfmDBBEwpNFITM
1,2,YdauBNatbQTItoumKYzxQYWZIOlBimQwJuWsCOOUvvnvbyLESUJYsfjiFEOOdFoZpgpaIURLckPBMggoaLfzPValEqm
1,2,tHpPMVmXIrywpASvmGdZ
1,2,sAspSHLxfuheCxUsKKNaPAiIhisKnVIRCdftGqTQkQrPUjewAyliHlmvYltJQtnhZPIsMKnTkxdkUQFzUEfCFqrLhvl
1,1,ZnMGiFgtyLCnDgBGPPliLPdcHhrIsYUwRPkBvTalnPiWleWGBELEtFHoGqetBFBCfTBqBjKdMqUqtaSsO
1,1,LFbZNMFUxRZKqgmoIQXnAgUFQKZmJDE
1,1,PxFnbCu
1,1,ngHLxmwyLpONvkQlrURIlZRRlcOdRQnTIRuLnaWGMx
1,2,qZzXbcNd
1,2,EQFlMpVcrtjARONyrMwrZvmLwS
1,1,WvwBHPiQ
1,1,YGDAiywmIEiKYBUAVTgZbNgSpV
1,2,owNzMXsKLLklrftBlqzhgRsSMKVSDywRwQgfkccENBlBwJWEUGDaasuBKZyLFzzRPkXPpaoBggXFUOWcHHxCqKlNrRfZpK
1,1,WPmbrlmJCBQjqBhepEPMCrNVffGTtPWSkHkDw
1,2,LuDfSfKJQymBARqTPSVlMvVzVHTsvOUgJMwjwtiMovHjcovBspHJVpvBlsukxuzvMrrSisrrAggfIqjScyASnj
1,1,BBWiBaRASpIBqozggoVysSKFSKZPcidjsDCqcNVEkXiKOPmFtSaLymPoHUPnGrbnYaKMGRkYKFCNyRIQuLurDLZSHMDUP
1,2,qqbPFULcFJxVLXqsJxqJ
1,2,ijmVfyuIrKEznRSJXK
1,2,zWqmRiJUilwfrmPjHQKMYZsRLiZmx
1,1,uFRbnQCsGSWuqGvapzPSEUxYqvhgCnFFIqmKnUjDsBJIrsgNeRsncDpilgidjXUFfiLiyTcHk
1,2,nuoXZHoIPxcTdbpbSOtreNJhQjRrBtbQxuWdmGmpAKWQ
1,2,tbOjMOKGcJIUHTODYsCVMKPJqYBBAFMFAsirStpWmqGAAzqTiAJnulqCbmLsfXcrzETkSXgWapoHCJOInqShmPsf
1,1,vRbMGNCVoFYxVxuDGpRanUPBwtLYxlujLZQJho
1,1,cQrJINivLEGDwqnJoNlGTWscOUifNfgwJrJkWyVWbJrtDWoSpihzCiBWnUmSmJxwZiICPXfZgwheQq
1,1,nyAGkwTBztLfdYblynfdQVbjWHkYxrjJPhSGj
1,2,FQYNstYNAekBBTWnPzfdSQGIYFfoDPGxj
1,1,fGxUAITTFfnvYmACBLlXsuDzylXyQemMeSDPdwFoPsXXwLadHmfUtxGpplovDKwZWhsoJhSBBJfwzHlVcez
1,2,UQEfXIDoZE
1,1,egCljoDUUvfDUggEeqiRihUjQsQitSdWtrfmnKoHydWYDnuJGShOoPtic
1,2,yafHCqdBJEMC
1,1,qscAXMPpQoexalupMEwDSYFdpxUTnJuweCSeZOGcQSoMczQ
1,2,SsjPuTXLnUgajzMcnDVItuPUVvrNVVfNcMwobTvEpJ
1,1,QVgRBndnClCQPTHFmt
1,2,sILitdNpaLboBrTomgvgTouawADAROOcZRAo
1,2,inTrBlexjqF
1,2,ZrHmhUofkWNrfe
1,2,HoPwzbApkiijYgqdJODiRIlNNsnDGhXThrmULDTPLftVCvlIzvYUTtEQIcRVmeZG
1,1,kcINyQOjUMtSDqtovjcCYMosCvliBvfjtNySTZ
1,2,MFoBoLpDPkLqDQRQmcsNGComUuIseFEJVTYyhEugZeDMQVIHNBXpPdDn
1,2,BXUAMWPpxwJPrOHHvUVoHBXnuHnymomQHUYkTFSEpxBLhXmwsRQdfOOiwIQSueCVQqUBNKDXrNGsYYRoJuGULXRq
1,2,dQigCKKyTJ
1,1,EXfjjbgeXUyRNzfyDzFxpFlJowauxdZmeQrfRcrcxVRHHHUSQRaQKvvf
1,2,kQByvcpXuwowegnSvEPaueziAsWMLAZqrZMiTVljse
